layer,direction,rank,feature_index,mean_diff_correct_minus_wrong,correct_mean_activation,wrong_mean_activation,correct_activation_frequency,wrong_activation_frequency,frequency_diff_correct_minus_wrong
6,more_active_in_correct,40,15355,0.407681941986084,0.5654609799385071,0.1577790230512619,0.22857142984867096,0.06493506580591202,0.16363635659217834
6,more_active_in_correct,41,6983,0.39443373680114746,1.17791748046875,0.7834837436676025,0.4571428596973419,0.27272728085517883,0.18441557884216309
6,more_active_in_correct,42,12426,0.36927294731140137,0.5302159190177917,0.16094298660755157,0.22857142984867096,0.06493506580591202,0.16363635659217834
6,more_active_in_correct,43,13815,0.3511754274368286,0.3511754274368286,0.0,0.08571428805589676,0.0,0.08571428805589676
6,more_active_in_correct,44,11353,0.2961437702178955,1.6892826557159424,1.3931388854980469,0.5714285969734192,0.350649356842041,0.22077924013137817
6,more_active_in_correct,45,778,0.2916955053806305,0.4474060535430908,0.15571054816246033,0.11428571492433548,0.03896103799343109,0.07532467693090439
6,more_active_in_correct,46,12659,0.2760671079158783,0.6478302478790283,0.37176313996315,0.2571428716182709,0.15584415197372437,0.10129871964454651
6,more_active_in_correct,47,9620,0.25341498851776123,1.2121511697769165,0.9587361812591553,0.37142857909202576,0.2857142984867096,0.08571428060531616
6,more_active_in_correct,48,9687,0.23850977420806885,1.5732251405715942,1.3347153663635254,0.6000000238418579,0.4935064911842346,0.10649353265762329
6,more_active_in_correct,49,960,0.20937208831310272,0.35626500844955444,0.14689292013645172,0.08571428805589676,0.03896103799343109,0.04675325006246567
6,more_active_in_correct,50,1457,0.2036452442407608,0.3389846384525299,0.1353393942117691,0.1428571492433548,0.051948051899671555,0.09090909361839294
6,more_active_in_wrong,1,15079,-5.549023151397705,7.5022711753845215,13.051294326782227,0.800000011920929,0.9350649118423462,-0.13506489992141724
6,more_active_in_wrong,2,7002,-4.618549346923828,15.706174850463867,20.324724197387695,1.0,1.0,0.0
6,more_active_in_wrong,3,2270,-2.944776773452759,2.5203182697296143,5.465095043182373,0.20000000298023224,0.5324675440788269,-0.33246755599975586
6,more_active_in_wrong,4,5275,-2.607600212097168,2.3075685501098633,4.915168762207031,0.20000000298023224,0.5324675440788269,-0.33246755599975586
6,more_active_in_wrong,5,12254,-2.3135056495666504,1.3243266344070435,3.6378324031829834,0.20000000298023224,0.5324675440788269,-0.33246755599975586
6,more_active_in_wrong,6,15781,-1.8919670581817627,1.4462347030639648,3.3382017612457275,0.5428571701049805,0.8311688303947449,-0.2883116602897644
6,more_active_in_wrong,7,5682,-1.8642828464508057,0.6429814696311951,2.5072643756866455,0.17142857611179352,0.5324675440788269,-0.3610389828681946
6,more_active_in_wrong,8,2490,-1.4245364665985107,0.7899370193481445,2.2144734859466553,0.20000000298023224,0.5324675440788269,-0.33246755599975586
6,more_active_in_wrong,9,11375,-1.2871333360671997,0.806348443031311,2.0934817790985107,0.20000000298023224,0.5324675440788269,-0.33246755599975586
6,more_active_in_wrong,10,7015,-1.2822809219360352,0.7221572995185852,2.0044381618499756,0.20000000298023224,0.5324675440788269,-0.33246755599975586
6,more_active_in_wrong,11,9119,-1.0408689975738525,0.6607198715209961,1.7015888690948486,0.20000000298023224,0.5324675440788269,-0.33246755599975586
6,more_active_in_wrong,12,7033,-0.9667718410491943,0.4638407528400421,1.430612564086914,0.17142857611179352,0.5194805264472961,-0.3480519652366638
6,more_active_in_wrong,13,243,-0.9299846887588501,0.15061020851135254,1.0805948972702026,0.05714285746216774,0.3246753215789795,-0.26753246784210205
6,more_active_in_wrong,14,4550,-0.8712213039398193,1.0781900882720947,1.949411392211914,0.4000000059604645,0.649350643157959,-0.2493506371974945
6,more_active_in_wrong,15,13860,-0.8546232581138611,0.19023318588733673,1.0448564291000366,0.05714285746216774,0.2857142984867096,-0.22857144474983215
6,more_active_in_wrong,16,9815,-0.8203213214874268,0.18096324801445007,1.0012845993041992,0.05714285746216774,0.2857142984867096,-0.22857144474983215
6,more_active_in_wrong,17,13801,-0.7864348888397217,0.5015504360198975,1.2879853248596191,0.20000000298023224,0.48051947355270386,-0.2805194854736328
6,more_active_in_wrong,18,304,-0.7360579371452332,0.14452408254146576,0.8805820345878601,0.05714285746216774,0.2857142984867096,-0.22857144474983215
6,more_active_in_wrong,19,15205,-0.7043027877807617,0.0,0.7043027877807617,0.0,0.03896103799343109,-0.03896103799343109
6,more_active_in_wrong,20,9761,-0.6962952613830566,0.07173952460289001,0.768034815788269,0.02857142873108387,0.27272728085517883,-0.2441558539867401
6,more_active_in_wrong,21,16193,-0.6637424230575562,0.2699638903141022,0.9337062835693359,0.11428571492433548,0.350649356842041,-0.23636364936828613
6,more_active_in_wrong,22,547,-0.6507943868637085,0.43155980110168457,1.082354187965393,0.1428571492433548,0.3636363744735718,-0.22077922523021698
6,more_active_in_wrong,23,3013,-0.636053740978241,0.07094385474920273,0.7069975733757019,0.02857142873108387,0.2857142984867096,-0.2571428716182709
6,more_active_in_wrong,24,6360,-0.6310760974884033,0.4766989052295685,1.1077749729156494,0.20000000298023224,0.4675324559211731,-0.26753246784210205
6,more_active_in_wrong,25,6742,-0.616730809211731,0.06788957118988037,0.6846203804016113,0.02857142873108387,0.2857142984867096,-0.2571428716182709
6,more_active_in_wrong,26,12527,-0.5899171829223633,0.18320778012275696,0.7731249928474426,0.08571428805589676,0.33766233921051025,-0.2519480586051941
6,more_active_in_wrong,27,14507,-0.5645185708999634,0.06425696611404419,0.6287755370140076,0.02857142873108387,0.27272728085517883,-0.2441558539867401
6,more_active_in_wrong,28,14412,-0.5042777061462402,0.14976705610752106,0.6540447473526001,0.05714285746216774,0.27272728085517883,-0.2155844271183014
6,more_active_in_wrong,29,11276,-0.47738027572631836,0.060582827776670456,0.5379630923271179,0.02857142873108387,0.2467532455921173,-0.2181818187236786
